RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2451,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3255,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6607,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4333,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4429,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6802,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3749,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3336,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3549,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2339,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4497,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4612,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3667,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3327,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2230,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4030,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2558,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4584,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3922,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4422,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4850,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3778,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3709,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4140,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2749,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3727,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2847,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3230,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3458,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5894,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3463,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2822,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3329,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4189,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3116,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2933,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3808,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5029,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4441,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4191,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2634,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4963,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2333,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2538,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4194,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5823,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3384,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2638,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3028,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2856,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6141,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4173,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3238,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4518,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2470,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3045,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3062,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3643,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3510,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3617,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3502,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5875,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3238,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2805,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6792,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3961,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4920,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5765,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3427,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5642,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4221,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3219,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3964,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5888,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3904,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3020,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5415,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3940,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3766,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3995,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3877,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3816,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
