RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3037,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3170,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4456,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2615,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2734,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3232,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2374,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2439,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3788,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2402,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
