RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6611,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
7451,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3716,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3968,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6223,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2833,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4355,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4283,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6167,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5186,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2634,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4863,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
9509,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5069,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4833,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4543,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4179,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
25403,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5590,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
8508,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6907,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6824,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6061,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3743,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
