RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
3031,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
6085,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
4367,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2080,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
9380,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1579,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2101,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1595,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
15460,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1526,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2088,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1304,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2136,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2189,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1614,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
9735,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1266,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2182,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
20479,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2727,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2182,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2214,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1398,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
18220,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
3289,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
24347,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1296,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
9090,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1747,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1864,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1648,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
3611,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1619,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1694,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1249,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
3282,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1845,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2485,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
