RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
6413,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
8908,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
5608,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3009,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
6475,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4676,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2409,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3378,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3204,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3191,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2512,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2678,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2185,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2341,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3179,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2755,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2997,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2695,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
