RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2769,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2763,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3595,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2754,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3228,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4673,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3314,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2562,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
43236,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4112,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2745,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2806,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2933,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
1963,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
6457,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3872,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
14500,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2264,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2262,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2551,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2088,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
11867,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5385,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2650,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2524,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4398,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4105,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5836,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
14761,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
