RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1634,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1605,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1644,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1689,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1769,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2191,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2058,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1541,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
4614,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
7069,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
52527,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3519,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3307,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2542,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3714,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2331,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
5081,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1451,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1274,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
