RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1488,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2366,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2016,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2469,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1452,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1207,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1744,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1623,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1307,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3581,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1166,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
4202,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1900,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
18104,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1677,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1862,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1656,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1593,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3560,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1492,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1755,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1747,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
11366,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1726,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2292,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2474,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1806,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1977,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1485,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2298,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1256,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1963,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2284,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1897,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
12277,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3959,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1465,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2199,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1638,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2078,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2389,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1514,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1605,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
5610,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3113,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2048,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1684,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1679,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2629,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2193,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2204,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2015,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
file,isFamiliar,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Ewan_McGregor.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Sarah_Millican.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Russell_Howard.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Julie_Walters.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Tony_Blair.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Gordon_Brown.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_keir_starmer.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_F_Theresa_May.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_david_camer.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Michael_McIntyr.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Michael_Gove.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_jeremy_corbyn.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Peter_Kay.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Dawn_Roma_French.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Jimmy_Carr.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Jennifer_Saunders.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_F_nicola_sturge.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Simon_Pegg.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Sajid_Javid.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_nigel_farage.png,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
file,imageryAns,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_F_Theresa_May.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Dawn_Roma_French.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Sarah_Millican.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_nigel_farage.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Tony_Blair.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_keir_starmer.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_jeremy_corbyn.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Russell_Howard.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Jimmy_Carr.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Julie_Walters.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Michael_Gove.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_F_Jennifer_Saunders.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Simon_Pegg.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Sajid_Javid.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Michael_McIntyr.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Peter_Kay.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_Gordon_Brown.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_F_nicola_sturge.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
E_M_Ewan_McGregor.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
P_M_david_camer.png,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
age: 34,gender: Female,handedness: right,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
