RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
8567,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
5390,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2974,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3390,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
8144,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2827,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3183,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
6470,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2694,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3127,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3669,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2491,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4469,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2639,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2386,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2114,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1998,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
5038,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3031,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2497,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3379,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3295,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
11678,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2293,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2183,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1770,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2228,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1878,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1688,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2383,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4041,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
7254,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2169,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3275,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2835,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4791,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2506,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2094,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2502,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1886,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2701,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1820,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1759,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2038,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3611,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1599,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2848,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2190,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1871,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2982,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4519,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4731,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3325,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3244,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2591,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
7217,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3701,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
9104,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4274,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1800,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2063,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1825,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1886,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1711,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2944,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1959,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2551,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2336,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2828,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3008,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2030,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2513,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1822,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4922,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
5171,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3121,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
5733,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3080,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3508,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3504,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3624,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1774,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1559,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1126,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1863,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1710,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
5030,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1917,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1379,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1485,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1391,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2611,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2234,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2546,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2495,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2724,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2462,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2338,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2571,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2352,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2481,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2118,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1967,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1976,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2830,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2478,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2889,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
5838,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3484,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3744,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2214,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3883,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2184,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1975,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2444,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2551,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2151,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3080,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
