RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
10088,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
5011,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2817,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2962,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2449,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3470,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2177,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3942,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3985,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3058,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2521,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2763,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
