RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4967,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2524,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2651,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3237,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4178,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3275,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4309,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3901,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2235,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
11213,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2141,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
