RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
8294,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
5287,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4998,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3317,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3583,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3254,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
7132,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4271,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3294,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4980,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2382,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2357,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
17181,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3707,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3403,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4037,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4166,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4402,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2892,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
15265,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3145,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4629,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2956,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2708,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2901,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2210,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4264,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3054,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
7816,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3547,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2902,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3901,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2933,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3691,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2399,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3693,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3542,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2415,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3509,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
19644,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2686,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
1826,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2550,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2692,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3606,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2579,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
5053,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
5116,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2398,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3080,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
6537,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2631,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
7510,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
10083,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3372,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2446,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
2617,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
5384,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4697,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
4587,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
3257,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d6b14230da3310001982390,"10/13/2022, 14:25:07"
