RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2647,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2511,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5358,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2743,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2241,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3165,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2234,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2629,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
8182,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2237,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2507,E_M_Martin_Freeman.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
1892,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3766,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3131,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2885,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3012,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2343,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2495,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2839,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2621,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2533,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
