RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2146,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1533,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3954,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2636,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2374,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
6790,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
5967,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3920,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1884,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2241,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
4333,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3056,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2061,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
11101,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2094,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3394,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1984,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3151,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1935,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
