RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2487,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
4195,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3173,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2926,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3802,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
51112,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3841,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3547,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3309,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2203,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
7397,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2503,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2811,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2888,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2206,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2462,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
32950,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
9521,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2166,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2087,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3480,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2450,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
4708,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2289,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2600,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
7392,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2816,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3825,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2346,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3129,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2676,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
6387,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
4884,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2079,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2148,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3418,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2233,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
5672,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2252,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1926,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
