RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2941,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4556,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2171,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3904,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3612,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
10832,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
10551,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3050,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4530,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2369,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3751,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
1778,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4256,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2272,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2416,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
1735,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
