RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
13277,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
9624,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
5032,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3678,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3662,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
4522,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
6841,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
4854,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3044,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
5246,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
6515,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
4430,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
2697,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
5448,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
4237,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3090,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
6001,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3837,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
2928,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3603,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3690,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
4003,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3782,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
5914,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
4930,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3176,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
7159,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
3440,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
2553,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a32e703c862ce00011155f6,"11/30/2021, 07:23:00"
