RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3000,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4081,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3856,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3179,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
9634,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3110,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
5336,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2522,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2471,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2950,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
8306,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4377,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3082,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2763,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2261,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2804,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3359,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3330,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2644,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2658,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3444,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4612,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2655,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4239,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
5545,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4722,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4264,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3313,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
6065,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
16492,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3089,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2578,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2216,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
5466,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4077,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
