RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2190,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2178,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3254,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2876,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2436,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2588,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
1897,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2080,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3590,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2899,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
4096,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2072,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2831,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
