RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
34623,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6537,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6415,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3905,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5009,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3308,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6209,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3777,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
9829,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4401,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5068,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4342,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
13716,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
10049,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3782,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5353,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
2913,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3527,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4229,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
12875,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
12355,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5277,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
7904,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3626,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4672,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4576,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3141,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5193,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4562,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4498,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3129,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
19082,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6616,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
7436,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5099,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4671,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
7830,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5310,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4840,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4498,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
8884,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
11705,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4165,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4287,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4126,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5220,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5761,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3149,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5900,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6408,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3933,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
9506,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3712,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
8964,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
9432,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
7061,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
7043,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4131,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
9334,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
16062,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
28434,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
