RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3108,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1578,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1407,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
943,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
812,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2457,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1210,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1287,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
4369,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1229,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2532,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1592,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2494,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2637,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2165,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1773,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2435,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1391,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1504,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3265,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1123,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
