RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
1787,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2696,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2077,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2061,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3526,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
1888,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2823,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3516,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3679,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
1976,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
1562,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3776,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
