RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4877,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
13589,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3748,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3212,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2932,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2389,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1744,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3168,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2099,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
12013,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
17176,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
