RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2092,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2561,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4164,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2001,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3823,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2662,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5804,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1761,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2031,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3113,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2121,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3192,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2549,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1633,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2012,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4345,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3243,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4154,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
