RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4164,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2151,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
1841,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2415,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2737,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
1986,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2617,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2992,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3275,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3336,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2212,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2485,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2850,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3395,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2478,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2233,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3006,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3660,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3292,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2240,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
