RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3280,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4117,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4402,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2698,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3786,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3969,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2702,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4761,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4413,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2470,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3915,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
