RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2783,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3358,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1695,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2943,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2007,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2311,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4327,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2794,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1871,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2000,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3887,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4247,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2087,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2137,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2327,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2095,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1911,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2128,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2911,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2174,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2129,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2116,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3895,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4527,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1781,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2095,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2462,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2894,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3567,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3079,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2142,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4320,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1879,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2423,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2494,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
5679,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2678,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1846,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3063,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1823,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2343,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1823,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2015,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2735,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4302,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1695,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2790,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1846,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1759,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1798,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3327,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1590,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2406,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2615,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1951,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3199,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2199,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1543,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2391,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1743,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2391,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2247,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3503,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2391,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2030,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1600,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1526,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2510,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1951,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2214,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2775,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2238,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2871,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2359,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3630,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2942,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2751,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1769,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1823,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1550,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2760,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3046,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2310,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2399,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2414,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2440,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3127,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1966,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1743,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3663,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3470,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
8606,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
7943,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3529,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3486,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
6344,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3767,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1744,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1646,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3103,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1623,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3302,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1952,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1846,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2215,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3223,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1831,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1566,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1807,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2592,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3703,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3191,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1928,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2968,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3206,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1711,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3030,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1863,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
