RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4545,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2102,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2486,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3303,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3247,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3478,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4399,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3703,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2792,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2070,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2327,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
2175,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4966,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3583,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3125,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1886,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3552,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
5703,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
3383,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4392,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
1925,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
4190,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601b18ec1839d548abd32b47,"11/02/2022, 16:12:27"
