RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2790,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
file,isFamiliar,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_tom_hankes.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_nicolas_cage.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_bill_clinton.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_donald_trump.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_david_cameron.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_F_tehresy_may.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_sandra_bullock.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_Judi_Dench.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_boris_johnson.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_F_hillary_clinton.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_robert_de_niro.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_Tony_Blair.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_keira_knightley.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_jennifer_aniston.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_george_Wbush.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_michael_caine.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_F_nicola_sturgeon.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_Kate_Winslet.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_angelina_jolie.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_Hugh_Grant.jpg,1,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
file,imageryAns,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_boris_johnson.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_F_nicola_sturgeon.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_jennifer_aniston.jpg,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_F_hillary_clinton.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_F_tehresy_may.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_angelina_jolie.jpg,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_keira_knightley.jpg,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_Kate_Winslet.jpg,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_robert_de_niro.jpg,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_tom_hankes.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_michael_caine.jpg,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_donald_trump.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_david_cameron.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_bill_clinton.jpg,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_Judi_Dench.jpg,2,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_Hugh_Grant.jpg,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_F_sandra_bullock.jpg,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_george_Wbush.jpg,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
P_M_Tony_Blair.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
E_M_nicolas_cage.jpg,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
age: 30,gender: Female,handedness: right,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
