RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
9917,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
3081,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
4201,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2376,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2692,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2552,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
3700,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2274,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2799,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2906,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
3159,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2978,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2695,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2860,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
2305,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ea40ba76e05883a3353452d,"11/02/2022, 16:06:27"
