RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
5486,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
6149,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2526,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2163,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2789,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2461,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3783,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4821,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4988,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3307,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3934,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2144,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3675,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2642,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2731,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1924,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2996,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2622,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3248,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2298,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2295,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2500,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2425,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2932,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2763,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
