RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
7036,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3381,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2188,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2690,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2779,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3381,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3754,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2997,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3688,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
4220,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2028,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2111,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3223,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3346,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2169,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
3314,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
4188,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2859,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2834,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
2480,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b95a5ca26f7d9e4d7f4914,"11/02/2022, 16:20:01"
