RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2300,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3304,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2837,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2665,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2339,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2734,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2881,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2082,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2604,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2461,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4104,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3124,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2095,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2920,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3018,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4517,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2681,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3383,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
6724,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2964,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2455,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3732,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2436,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
