RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3819,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5047,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2671,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2062,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2009,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2401,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3886,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2296,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2432,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2569,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2442,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2850,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1915,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1975,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2671,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1936,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2553,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2163,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3259,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1877,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3330,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2133,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3466,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2850,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3018,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3002,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3702,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2966,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2965,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2311,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1376,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3966,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2982,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
