RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2199,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2185,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2161,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
1652,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
1607,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2029,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
file,isFamiliar,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_tom_hankes.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_boris_johnson.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_george_Wbush.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_michael_caine.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_keira_knightley.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_angelina_jolie.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_F_tehresy_may.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_F_nicola_sturgeon.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_robert_de_niro.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_F_hillary_clinton.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_donald_trump.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_nicolas_cage.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_sandra_bullock.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_jennifer_aniston.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_Kate_Winslet.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_Tony_Blair.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_david_cameron.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
