RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1547,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1547,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1307,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3919,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1479,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2057,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1666,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1287,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1879,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1283,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2546,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2317,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1471,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1986,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2511,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2662,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1685,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3132,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2430,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1750,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1774,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1751,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2385,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
20388,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2009,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1675,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1469,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1411,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1416,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2501,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1874,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1872,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2061,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2337,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1469,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1812,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1582,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2114,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2991,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1684,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1863,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1966,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1186,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1718,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1691,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1433,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2174,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
