RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1435,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
file,isFamiliar,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_Tony_Blair.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_robert_de_niro.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_jennifer_aniston.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_F_nicola_sturgeon.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_F_hillary_clinton.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_michael_caine.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_donald_trump.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_F_tehresy_may.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_bill_clinton.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_Kate_Winslet.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_boris_johnson.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_angelina_jolie.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_david_cameron.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_keira_knightley.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_tom_hankes.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_george_Wbush.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_sandra_bullock.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_nicolas_cage.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_Hugh_Grant.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_Judi_Dench.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
file,imageryAns,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_bill_clinton.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_Tony_Blair.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_Judi_Dench.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_nicolas_cage.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_michael_caine.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_F_tehresy_may.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_boris_johnson.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_F_nicola_sturgeon.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_robert_de_niro.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_donald_trump.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_F_hillary_clinton.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_david_cameron.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_sandra_bullock.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_keira_knightley.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_Kate_Winslet.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_tom_hankes.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
P_M_george_Wbush.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_M_Hugh_Grant.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_angelina_jolie.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
E_F_jennifer_aniston.jpg,1,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
age: 26,gender: Male,handedness: right,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
