RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
4316,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3290,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3457,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2037,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
4558,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2045,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1688,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1650,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1604,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3488,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2026,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2305,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2638,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1609,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1407,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1944,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2419,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2120,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
13984,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
4372,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2899,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2080,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1466,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1475,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1831,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1271,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2337,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
