RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3569,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6593,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3393,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3680,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2657,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3394,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5703,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6615,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4915,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4218,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3610,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4564,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2502,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9138,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3738,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7096,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3560,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7482,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9439,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2851,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3432,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2565,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3512,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7311,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7528,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3323,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3928,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6228,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3249,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
17496,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5583,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
10466,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2010,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2208,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4714,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3994,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8784,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4992,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4039,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
15732,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5182,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8308,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6451,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4931,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2444,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3706,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2034,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3052,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3869,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3704,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2670,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9342,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
10316,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6319,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4589,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2985,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
10040,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5985,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4118,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5378,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4270,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4596,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
