RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6128,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6763,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5174,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8541,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8927,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2859,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3933,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9128,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3560,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
12668,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4206,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2737,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7618,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7890,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5382,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7007,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6684,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3168,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4223,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5824,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4599,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4369,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5258,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4780,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6820,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5924,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
11804,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3277,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3638,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4737,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4284,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3232,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6272,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8639,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4902,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2029,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6605,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4071,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3197,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3870,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2887,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
15246,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4147,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2380,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3735,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3589,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7088,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4057,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9496,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3764,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4244,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3683,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
4969,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5146,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6369,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2226,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2559,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7313,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9208,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5134,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8455,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3390,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8411,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2887,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
8763,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
9878,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2839,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
6618,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
7471,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5676,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
5576,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2324,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2093,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
2165,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
3540,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,63468a4d5daf36365c1a16d9,"11/02/2022, 16:15:36"
