RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
8280,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2229,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3391,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2191,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4904,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2470,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
7031,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5837,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4570,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2540,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3166,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2796,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5307,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2464,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
