RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
7442,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3390,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3203,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3261,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4116,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3550,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2330,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2591,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
6060,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1964,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2097,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3589,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3011,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2185,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2572,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4326,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3094,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2647,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2212,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2338,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2004,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2366,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4931,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2414,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
6204,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1791,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4313,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3155,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3617,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2191,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
5643,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
21583,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2598,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2702,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2279,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1576,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3328,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3096,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3668,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3231,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4194,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4764,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2456,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
5119,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2956,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3271,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1893,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2337,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1969,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2926,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4122,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4488,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
