"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
6047,"E_M_michael_caine.png","P_F_nicola_sturgeon.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_michael_caine.png P_F_nicola_sturgeon.png",0.359724757552318,"27","Female","right",0,1,FALSE
11686,"E_F_angelina_jolie.png","E_F_keira_knightley.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","3","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png E_F_keira_knightley.png",-4.00289464255026,"27","Female","right",0,1,FALSE
4910,"P_M_bill_clinton.png","P_M_george_Wbush.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_bill_clinton.png P_M_george_Wbush.png",-1.09448170914854,"27","Female","right",0,1,FALSE
5735,"E_M_michael_caine.png","P_M_boris_johnson.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_michael_caine.png P_M_boris_johnson.png",0.359724757552318,"27","Female","right",0,0,FALSE
5063,"E_F_angelina_jolie.png","E_F_Kate_Winslet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png E_F_Kate_Winslet.png",0.359724757552318,"27","Female","right",0,0,FALSE
3214,"E_F_jennifer_aniston.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_jennifer_aniston.png P_M_george_Wbush.png",0.359724757552318,"27","Female","right",0,1,FALSE
5822,"P_F_nicola_sturgeon.png","P_M_donald_trump.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_nicola_sturgeon.png P_M_donald_trump.png",0.359724757552318,"27","Female","right",1,0,FALSE
7391,"E_F_angelina_jolie.png","E_M_robert_de_niro.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png E_M_robert_de_niro.png",0.359724757552318,"27","Female","right",0,1,FALSE
5239,"E_M_Hugh_Grant.png","P_M_david_cameron.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_Hugh_Grant.png P_M_david_cameron.png",0.359724757552318,"27","Female","right",1,0,FALSE
7839,"E_F_jennifer_aniston.png","P_F_hillary_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_jennifer_aniston.png P_F_hillary_clinton.png",0.359724757552318,"27","Female","right",0,0,FALSE
3943,"E_M_tom_hankes.png","P_M_boris_johnson.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_tom_hankes.png P_M_boris_johnson.png",0.359724757552318,"27","Female","right",0,0,FALSE
5703,"P_F_tehresy_may.png","P_M_donald_trump.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_tehresy_may.png P_M_donald_trump.png",0.359724757552318,"27","Female","right",0,0,FALSE
7558,"E_F_Kate_Winslet.png","P_M_boris_johnson.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Kate_Winslet.png P_M_boris_johnson.png",0.359724757552318,"27","Female","right",0,0,FALSE
5855,"P_F_hillary_clinton.png","P_M_bill_clinton.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_hillary_clinton.png P_M_bill_clinton.png",0.359724757552318,"27","Female","right",0,0,FALSE
9103,"E_M_michael_caine.png","E_M_robert_de_niro.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","4","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_michael_caine.png E_M_robert_de_niro.png",-2.5486881758494,"27","Female","right",0,1,FALSE
4174,"P_F_nicola_sturgeon.png","P_M_bill_clinton.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_nicola_sturgeon.png P_M_bill_clinton.png",0.359724757552318,"27","Female","right",1,0,FALSE
6255,"E_F_Judi_Dench.png","E_F_sandra_bullock.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Judi_Dench.png E_F_sandra_bullock.png",0.359724757552318,"27","Female","right",1,1,FALSE
8239,"E_F_jennifer_aniston.png","E_M_Hugh_Grant.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_jennifer_aniston.png E_M_Hugh_Grant.png",0.359724757552318,"27","Female","right",0,1,FALSE
6870,"P_M_bill_clinton.png","P_M_boris_johnson.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","2","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_bill_clinton.png P_M_boris_johnson.png",-5.45710110925111,"27","Female","right",0,0,FALSE
7622,"P_M_david_cameron.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_david_cameron.png P_M_Tony_Blair.png",0.359724757552318,"27","Female","right",0,0,FALSE
4398,"P_M_boris_johnson.png","P_M_donald_trump.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","4","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_boris_johnson.png P_M_donald_trump.png",-2.5486881758494,"27","Female","right",0,0,FALSE
10303,"P_M_bill_clinton.png","P_M_donald_trump.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_bill_clinton.png P_M_donald_trump.png",-1.09448170914854,"27","Female","right",0,0,FALSE
7535,"E_F_jennifer_aniston.png","E_M_tom_hankes.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_jennifer_aniston.png E_M_tom_hankes.png",0.359724757552318,"27","Female","right",0,0,FALSE
4503,"E_M_michael_caine.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_michael_caine.png P_M_george_Wbush.png",0.359724757552318,"27","Female","right",0,1,FALSE
12134,"P_F_nicola_sturgeon.png","P_M_boris_johnson.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_nicola_sturgeon.png P_M_boris_johnson.png",0.359724757552318,"27","Female","right",1,0,FALSE
4854,"E_F_Judi_Dench.png","E_M_Hugh_Grant.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Judi_Dench.png E_M_Hugh_Grant.png",0.359724757552318,"27","Female","right",1,1,FALSE
3295,"E_M_nicolas_cage.png","P_F_hillary_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_nicolas_cage.png P_F_hillary_clinton.png",0.359724757552318,"27","Female","right",0,0,FALSE
6791,"E_F_keira_knightley.png","P_M_bill_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_keira_knightley.png P_M_bill_clinton.png",0.359724757552318,"27","Female","right",1,0,FALSE
5342,"E_M_michael_caine.png","P_F_hillary_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_michael_caine.png P_F_hillary_clinton.png",0.359724757552318,"27","Female","right",0,0,FALSE
4318,"E_F_sandra_bullock.png","E_M_tom_hankes.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_sandra_bullock.png E_M_tom_hankes.png",0.359724757552318,"27","Female","right",1,0,FALSE
