"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
4519,"E_F_sandra_bullock.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","4","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_sandra_bullock.jpg E_M_michael_caine.jpg",-0.119202846836246,"25","Female","right",1,1,FALSE
2403,"E_F_jennifer_aniston.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","2","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_jennifer_aniston.jpg E_F_sandra_bullock.jpg",-1.17262335376121,"25","Female","right",1,1,FALSE
3222,"E_M_robert_de_niro.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_M_robert_de_niro.jpg P_M_boris_johnson.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
2811,"E_M_robert_de_niro.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_M_robert_de_niro.jpg P_M_david_cameron.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
2556,"E_M_tom_hankes.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_M_tom_hankes.jpg P_M_Tony_Blair.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
3744,"E_M_robert_de_niro.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_M_robert_de_niro.jpg P_F_nicola_sturgeon.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
2154,"E_F_angelina_jolie.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_angelina_jolie.jpg P_M_george_Wbush.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
3440,"E_F_Kate_Winslet.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","2","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_Kate_Winslet.jpg E_M_robert_de_niro.jpg",-1.17262335376121,"25","Female","right",1,1,FALSE
2779,"E_F_angelina_jolie.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","1","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_angelina_jolie.jpg E_F_sandra_bullock.jpg",-1.69933360722369,"25","Female","right",1,1,FALSE
3479,"P_M_david_cameron.jpg","P_M_george_Wbush.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","2","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","P_M_david_cameron.jpg P_M_george_Wbush.jpg",-1.17262335376121,"25","Female","right",1,1,FALSE
2444,"E_F_jennifer_aniston.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","2","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_jennifer_aniston.jpg E_M_tom_hankes.jpg",-1.17262335376121,"25","Female","right",1,1,FALSE
2640,"E_M_nicolas_cage.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_M_nicolas_cage.jpg P_F_tehresy_may.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
2462,"P_F_nicola_sturgeon.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","1","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","P_F_nicola_sturgeon.jpg P_M_david_cameron.jpg",-1.69933360722369,"25","Female","right",1,1,FALSE
2798,"E_F_Kate_Winslet.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","4","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_Kate_Winslet.jpg E_M_michael_caine.jpg",-0.119202846836246,"25","Female","right",1,1,FALSE
3992,"E_F_Judi_Dench.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_Judi_Dench.jpg P_F_tehresy_may.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
2942,"E_F_keira_knightley.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_keira_knightley.jpg P_F_hillary_clinton.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
6044,"E_F_Judi_Dench.jpg","E_F_Kate_Winslet.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","4","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_Judi_Dench.jpg E_F_Kate_Winslet.jpg",-0.119202846836246,"25","Female","right",1,1,FALSE
5435,"E_M_nicolas_cage.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_M_nicolas_cage.jpg P_M_david_cameron.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
2598,"E_F_Judi_Dench.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","60c20abfdccab926283d8f7f","04/25/2022, 20:06:34","E_F_Judi_Dench.jpg P_M_boris_johnson.jpg",0.934217660088715,"25","Female","right",1,1,FALSE
