"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
3070,"E_F_keira_knightley.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","608489b0f443591db476893d","04/26/2022, 07:43:23","E_F_keira_knightley.jpg E_M_michael_caine.jpg",1.44221696282435,"35","Female","right",1,1,FALSE
2353,"E_F_Kate_Winslet.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","608489b0f443591db476893d","04/26/2022, 07:43:23","E_F_Kate_Winslet.jpg E_M_michael_caine.jpg",0.66374757948166,"35","Female","right",1,1,FALSE
2044,"E_M_robert_de_niro.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","608489b0f443591db476893d","04/26/2022, 07:43:23","E_M_robert_de_niro.jpg P_M_boris_johnson.jpg",-0.114721803861027,"35","Female","right",1,1,FALSE
3029,"E_M_nicolas_cage.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","1","608489b0f443591db476893d","04/26/2022, 07:43:23","E_M_nicolas_cage.jpg P_M_george_Wbush.jpg",-2.45012995388909,"35","Female","right",1,1,FALSE
2955,"E_F_Kate_Winslet.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","3","608489b0f443591db476893d","04/26/2022, 07:43:23","E_F_Kate_Winslet.jpg P_M_george_Wbush.jpg",-0.893191187203715,"35","Female","right",1,1,FALSE
3366,"P_M_george_Wbush.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","608489b0f443591db476893d","04/26/2022, 07:43:23","P_M_george_Wbush.jpg P_M_Tony_Blair.jpg",0.66374757948166,"35","Female","right",1,1,FALSE
3118,"E_F_Kate_Winslet.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","4","608489b0f443591db476893d","04/26/2022, 07:43:23","E_F_Kate_Winslet.jpg P_M_donald_trump.jpg",-0.114721803861027,"35","Female","right",1,1,FALSE
3917,"P_M_boris_johnson.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","608489b0f443591db476893d","04/26/2022, 07:43:23","P_M_boris_johnson.jpg P_M_david_cameron.jpg",0.66374757948166,"35","Female","right",1,1,FALSE
2829,"P_F_nicola_sturgeon.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","2","608489b0f443591db476893d","04/26/2022, 07:43:23","P_F_nicola_sturgeon.jpg P_M_boris_johnson.jpg",-1.6716605705464,"35","Female","right",1,1,FALSE
2173,"E_F_Judi_Dench.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","608489b0f443591db476893d","04/26/2022, 07:43:23","E_F_Judi_Dench.jpg P_M_boris_johnson.jpg",0.66374757948166,"35","Female","right",1,1,FALSE
