"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
2216,"E_F_Judi_Dench.png","E_M_nicolas_cage.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","3","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_Judi_Dench.png E_M_nicolas_cage.png",-1.03720508162046,"33","Female","left",0,0,FALSE
1969,"E_F_jennifer_aniston.png","P_M_bill_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_jennifer_aniston.png P_M_bill_clinton.png",-0.129053166837569,"33","Female","left",0,0,FALSE
2697,"E_M_robert_de_niro.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_robert_de_niro.png P_M_Tony_Blair.png",-0.129053166837569,"33","Female","left",0,1,FALSE
3433,"E_F_jennifer_aniston.png","E_M_nicolas_cage.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","3","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_jennifer_aniston.png E_M_nicolas_cage.png",-1.03720508162046,"33","Female","left",0,0,FALSE
4132,"E_F_Kate_Winslet.png","E_F_keira_knightley.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","1","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_Kate_Winslet.png E_F_keira_knightley.png",-2.85350891118624,"33","Female","left",0,0,FALSE
2782,"E_F_angelina_jolie.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_angelina_jolie.png P_M_Tony_Blair.png",-0.129053166837569,"33","Female","left",0,1,FALSE
2082,"E_F_angelina_jolie.png","E_M_robert_de_niro.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_angelina_jolie.png E_M_robert_de_niro.png",0.779098747945323,"33","Female","left",0,0,FALSE
1816,"E_M_robert_de_niro.png","P_F_tehresy_may.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_robert_de_niro.png P_F_tehresy_may.png",0.779098747945323,"33","Female","left",0,1,FALSE
1998,"P_M_david_cameron.png","P_M_george_Wbush.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","P_M_david_cameron.png P_M_george_Wbush.png",-0.129053166837569,"33","Female","left",1,0,FALSE
3435,"E_F_keira_knightley.png","E_M_tom_hankes.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_keira_knightley.png E_M_tom_hankes.png",0.779098747945323,"33","Female","left",0,0,FALSE
