"file","isFamiliar","participant","time"
"E_F_Kate_Winslet.jpg",1,"1","12345"
"E_F_sandra_bullock.jpg",1,"1","12345"
"E_F_Judi_Dench.jpg",1,"1","12345"
"P_M_boris_johnson.jpg",1,"1","12345"
"E_F_jennifer_aniston.jpg",1,"1","12345"
"P_F_nicola_sturgeon.jpg",1,"1","12345"
"E_M_michael_caine.jpg",1,"1","12345"
"E_F_angelina_jolie.jpg",1,"1","12345"
"P_M_Tony_Blair.jpg",1,"1","12345"
"P_M_david_cameron.jpg",1,"1","12345"
"E_F_keira_knightley.jpg",1,"1","12345"
"E_M_nicolas_cage.jpg",1,"1","12345"
"P_M_bill_clinton.jpg",1,"1","12345"
"P_F_tehresy_may.jpg",1,"1","12345"
"E_M_robert_de_niro.jpg",1,"1","12345"
"P_M_donald_trump.jpg",1,"1","12345"
"P_M_george_Wbush.jpg",1,"1","12345"
"E_M_Hugh_Grant.jpg",1,"1","12345"
"E_M_tom_hankes.jpg",1,"1","12345"
"P_F_hillary_clinton.jpg",1,"1","12345"
"P_M_Tony_Blair.jpg",1,"2","12345"
"E_F_angelina_jolie.jpg",1,"2","12345"
"E_M_robert_de_niro.jpg",0,"2","12345"
"P_F_hillary_clinton.jpg",1,"2","12345"
"P_F_nicola_sturgeon.jpg",1,"2","12345"
"E_F_keira_knightley.jpg",1,"2","12345"
"E_F_jennifer_aniston.jpg",1,"2","12345"
"E_F_Judi_Dench.jpg",1,"2","12345"
"P_M_david_cameron.jpg",1,"2","12345"
"P_M_donald_trump.jpg",1,"2","12345"
"E_M_Hugh_Grant.jpg",1,"2","12345"
"P_M_bill_clinton.jpg",0,"2","12345"
"P_M_george_Wbush.jpg",1,"2","12345"
"E_F_sandra_bullock.jpg",1,"2","12345"
"E_F_Kate_Winslet.jpg",1,"2","12345"
"P_M_boris_johnson.jpg",1,"2","12345"
"E_M_nicolas_cage.jpg",1,"2","12345"
"E_M_tom_hankes.jpg",1,"2","12345"
"E_M_michael_caine.jpg",0,"2","12345"
"P_F_tehresy_may.jpg",1,"2","12345"
"P_M_bill_clinton.jpg",1,"3","12345"
"P_F_hillary_clinton.jpg",1,"3","12345"
"E_F_keira_knightley.jpg",1,"3","12345"
"E_M_Hugh_Grant.jpg",1,"3","12345"
"P_F_tehresy_may.jpg",1,"3","12345"
"P_M_george_Wbush.jpg",1,"3","12345"
"E_F_sandra_bullock.jpg",1,"3","12345"
"P_M_Tony_Blair.jpg",1,"3","12345"
"E_F_jennifer_aniston.jpg",1,"3","12345"
"E_F_angelina_jolie.jpg",1,"3","12345"
"P_M_boris_johnson.jpg",1,"3","12345"
"P_F_nicola_sturgeon.jpg",1,"3","12345"
"E_M_tom_hankes.jpg",1,"3","12345"
"E_F_Judi_Dench.jpg",1,"3","12345"
"E_M_michael_caine.jpg",1,"3","12345"
"E_M_robert_de_niro.jpg",1,"3","12345"
"P_M_david_cameron.jpg",1,"3","12345"
"E_F_Kate_Winslet.jpg",1,"3","12345"
"P_M_donald_trump.jpg",1,"3","12345"
"E_M_nicolas_cage.jpg",1,"3","12345"
"E_F_Kate_Winslet.jpg",1,"4","12345"
"E_M_tom_hankes.jpg",1,"4","12345"
"P_F_nicola_sturgeon.jpg",1,"4","12345"
"E_F_angelina_jolie.jpg",1,"4","12345"
"E_M_Hugh_Grant.jpg",1,"4","12345"
"E_M_michael_caine.jpg",1,"4","12345"
"P_M_bill_clinton.jpg",1,"4","12345"
"P_M_george_Wbush.jpg",1,"4","12345"
"E_F_keira_knightley.jpg",1,"4","12345"
"E_F_jennifer_aniston.jpg",1,"4","12345"
"P_M_david_cameron.jpg",1,"4","12345"
"P_M_donald_trump.jpg",1,"4","12345"
"E_M_robert_de_niro.jpg",1,"4","12345"
"P_F_tehresy_may.jpg",1,"4","12345"
"E_F_sandra_bullock.jpg",1,"4","12345"
"P_M_Tony_Blair.jpg",1,"4","12345"
"P_M_boris_johnson.jpg",1,"4","12345"
"P_F_hillary_clinton.jpg",1,"4","12345"
"E_F_Judi_Dench.jpg",1,"4","12345"
"E_M_nicolas_cage.jpg",1,"4","12345"
"E_F_Kate_Winslet.jpg",1,"5","12345"
"E_M_nicolas_cage.jpg",1,"5","12345"
"P_M_david_cameron.jpg",1,"5","12345"
"E_M_michael_caine.jpg",1,"5","12345"
"E_F_sandra_bullock.jpg",1,"5","12345"
"P_F_nicola_sturgeon.jpg",1,"5","12345"
"E_F_keira_knightley.jpg",1,"5","12345"
"P_M_donald_trump.jpg",1,"5","12345"
"P_M_Tony_Blair.jpg",1,"5","12345"
"P_M_bill_clinton.jpg",1,"5","12345"
"E_F_Judi_Dench.jpg",1,"5","12345"
"P_M_boris_johnson.jpg",1,"5","12345"
"E_F_jennifer_aniston.jpg",1,"5","12345"
"E_M_tom_hankes.jpg",1,"5","12345"
"P_F_hillary_clinton.jpg",1,"5","12345"
"E_F_angelina_jolie.jpg",1,"5","12345"
"E_M_robert_de_niro.jpg",1,"5","12345"
"E_M_Hugh_Grant.jpg",1,"5","12345"
"P_F_tehresy_may.jpg",1,"5","12345"
"P_M_george_Wbush.jpg",1,"5","12345"
"P_M_george_Wbush.jpg",1,"6","12345"
"P_F_hillary_clinton.jpg",1,"6","12345"
"P_M_david_cameron.jpg",1,"6","12345"
"E_F_Kate_Winslet.jpg",1,"6","12345"
"E_M_tom_hankes.jpg",1,"6","12345"
"P_F_nicola_sturgeon.jpg",1,"6","12345"
"P_M_bill_clinton.jpg",1,"6","12345"
"E_M_Hugh_Grant.jpg",1,"6","12345"
"P_M_Tony_Blair.jpg",1,"6","12345"
"E_F_keira_knightley.jpg",1,"6","12345"
"E_M_robert_de_niro.jpg",1,"6","12345"
"E_F_jennifer_aniston.jpg",1,"6","12345"
"P_M_boris_johnson.jpg",1,"6","12345"
"P_F_tehresy_may.jpg",1,"6","12345"
"E_M_nicolas_cage.jpg",1,"6","12345"
"P_M_donald_trump.jpg",1,"6","12345"
"E_F_angelina_jolie.jpg",1,"6","12345"
"E_M_michael_caine.jpg",1,"6","12345"
"E_F_Judi_Dench.jpg",1,"6","12345"
"E_F_sandra_bullock.jpg",1,"6","12345"
"E_M_michael_caine.jpg",1,"7","12345"
"E_F_sandra_bullock.jpg",1,"7","12345"
"E_F_Kate_Winslet.jpg",1,"7","12345"
"P_F_hillary_clinton.jpg",1,"7","12345"
"E_F_keira_knightley.jpg",1,"7","12345"
"P_F_tehresy_may.jpg",1,"7","12345"
"E_F_Judi_Dench.jpg",1,"7","12345"
"P_M_donald_trump.jpg",1,"7","12345"
"P_M_bill_clinton.jpg",0,"7","12345"
"P_M_Tony_Blair.jpg",1,"7","12345"
"E_F_jennifer_aniston.jpg",1,"7","12345"
"P_F_nicola_sturgeon.jpg",1,"7","12345"
"P_M_george_Wbush.jpg",1,"7","12345"
"P_M_david_cameron.jpg",1,"7","12345"
"E_M_tom_hankes.jpg",1,"7","12345"
"E_F_angelina_jolie.jpg",1,"7","12345"
"E_M_nicolas_cage.jpg",1,"7","12345"
"E_M_Hugh_Grant.jpg",1,"7","12345"
"E_M_robert_de_niro.jpg",0,"7","12345"
"P_M_boris_johnson.jpg",1,"7","12345"
"E_F_angelina_jolie.jpg",1,"8","12345"
"E_F_keira_knightley.jpg",1,"8","12345"
"P_M_david_cameron.jpg",1,"8","12345"
"E_F_sandra_bullock.jpg",1,"8","12345"
"P_M_boris_johnson.jpg",1,"8","12345"
"E_M_michael_caine.jpg",1,"8","12345"
