"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial","condition","pair"
NA,"E_F_jennifer_aniston.jpg","E_M_Hugh_Grant.jpg",NA,NA,NA,NA,NA,0.28001237,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg E_M_Hugh_Grant.jpg"
NA,"E_F_jennifer_aniston.jpg","E_M_michael_caine.jpg",NA,NA,NA,NA,NA,0.446913,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg E_M_michael_caine.jpg"
NA,"E_F_jennifer_aniston.jpg","E_M_nicolas_cage.jpg",NA,NA,NA,NA,NA,0.30888838,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg E_M_nicolas_cage.jpg"
NA,"E_F_jennifer_aniston.jpg","E_M_robert_de_niro.jpg",NA,NA,NA,NA,NA,0.36627716,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg E_M_robert_de_niro.jpg"
NA,"E_F_jennifer_aniston.jpg","E_M_tom_hankes.jpg",NA,NA,NA,NA,NA,0.2625878,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg E_M_tom_hankes.jpg"
NA,"E_F_jennifer_aniston.jpg","P_F_hillary_clinton.jpg",NA,NA,NA,NA,NA,0.29513943,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_F_hillary_clinton.jpg"
NA,"E_F_jennifer_aniston.jpg","P_F_nicola_sturgeon.jpg",NA,NA,NA,NA,NA,0.43909281,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_F_nicola_sturgeon.jpg"
NA,"E_F_jennifer_aniston.jpg","P_F_tehresy_may.jpg",NA,NA,NA,NA,NA,0.4945783,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_F_tehresy_may.jpg"
NA,"E_F_jennifer_aniston.jpg","P_M_bill_clinton.jpg",NA,NA,NA,NA,NA,0.36749184,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_M_bill_clinton.jpg"
NA,"E_F_jennifer_aniston.jpg","P_M_boris_johnson.jpg",NA,NA,NA,NA,NA,0.47483534,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_M_boris_johnson.jpg"
NA,"E_F_jennifer_aniston.jpg","P_M_david_cameron.jpg",NA,NA,NA,NA,NA,0.44607484,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_M_david_cameron.jpg"
NA,"E_F_jennifer_aniston.jpg","P_M_donald_trump.jpg",NA,NA,NA,NA,NA,0.43357468,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_M_donald_trump.jpg"
NA,"E_F_jennifer_aniston.jpg","P_M_george_Wbush.jpg",NA,NA,NA,NA,NA,0.40845197,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_M_george_Wbush.jpg"
NA,"E_F_jennifer_aniston.jpg","P_M_Tony_Blair.jpg",NA,NA,NA,NA,NA,0.491903,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_jennifer_aniston.jpg P_M_Tony_Blair.jpg"
NA,"E_F_Judi_Dench.jpg","E_F_Kate_Winslet.jpg",NA,NA,NA,NA,NA,0.34824938,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_F_Kate_Winslet.jpg"
NA,"E_F_Judi_Dench.jpg","E_F_keira_knightley.jpg",NA,NA,NA,NA,NA,0.39532268,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_F_keira_knightley.jpg"
NA,"E_F_Judi_Dench.jpg","E_F_sandra_bullock.jpg",NA,NA,NA,NA,NA,0.38281673,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_F_sandra_bullock.jpg"
NA,"E_F_Judi_Dench.jpg","E_M_Hugh_Grant.jpg",NA,NA,NA,NA,NA,0.33732176,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_M_Hugh_Grant.jpg"
NA,"E_F_Judi_Dench.jpg","E_M_michael_caine.jpg",NA,NA,NA,NA,NA,0.33720982,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_M_michael_caine.jpg"
NA,"E_F_Judi_Dench.jpg","E_M_nicolas_cage.jpg",NA,NA,NA,NA,NA,0.34327924,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_M_nicolas_cage.jpg"
NA,"E_F_Judi_Dench.jpg","E_M_robert_de_niro.jpg",NA,NA,NA,NA,NA,0.45322043,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_M_robert_de_niro.jpg"
NA,"E_F_Judi_Dench.jpg","E_M_tom_hankes.jpg",NA,NA,NA,NA,NA,0.3363076,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg E_M_tom_hankes.jpg"
NA,"E_F_Judi_Dench.jpg","P_F_hillary_clinton.jpg",NA,NA,NA,NA,NA,0.28403217,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_F_hillary_clinton.jpg"
NA,"E_F_Judi_Dench.jpg","P_F_nicola_sturgeon.jpg",NA,NA,NA,NA,NA,0.23678839,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_F_nicola_sturgeon.jpg"
NA,"E_F_Judi_Dench.jpg","P_F_tehresy_may.jpg",NA,NA,NA,NA,NA,0.29256153,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_F_tehresy_may.jpg"
NA,"E_F_Judi_Dench.jpg","P_M_bill_clinton.jpg",NA,NA,NA,NA,NA,0.34796906,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_M_bill_clinton.jpg"
NA,"E_F_Judi_Dench.jpg","P_M_boris_johnson.jpg",NA,NA,NA,NA,NA,0.29697126,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_M_boris_johnson.jpg"
NA,"E_F_Judi_Dench.jpg","P_M_david_cameron.jpg",NA,NA,NA,NA,NA,0.28299695,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_M_david_cameron.jpg"
NA,"E_F_Judi_Dench.jpg","P_M_donald_trump.jpg",NA,NA,NA,NA,NA,0.39944267,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_M_donald_trump.jpg"
NA,"E_F_Judi_Dench.jpg","P_M_george_Wbush.jpg",NA,NA,NA,NA,NA,0.3972497,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_M_george_Wbush.jpg"
NA,"E_F_Judi_Dench.jpg","P_M_Tony_Blair.jpg",NA,NA,NA,NA,NA,0.3131985,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Judi_Dench.jpg P_M_Tony_Blair.jpg"
NA,"E_F_Kate_Winslet.jpg","E_F_keira_knightley.jpg",NA,NA,NA,NA,NA,0.18630296,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_F_keira_knightley.jpg"
NA,"E_F_Kate_Winslet.jpg","E_F_sandra_bullock.jpg",NA,NA,NA,NA,NA,0.22886968,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_F_sandra_bullock.jpg"
NA,"E_F_Kate_Winslet.jpg","E_M_Hugh_Grant.jpg",NA,NA,NA,NA,NA,0.36373717,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_M_Hugh_Grant.jpg"
NA,"E_F_Kate_Winslet.jpg","E_M_michael_caine.jpg",NA,NA,NA,NA,NA,0.43793958,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_M_michael_caine.jpg"
NA,"E_F_Kate_Winslet.jpg","E_M_nicolas_cage.jpg",NA,NA,NA,NA,NA,0.36634588,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_M_nicolas_cage.jpg"
NA,"E_F_Kate_Winslet.jpg","E_M_robert_de_niro.jpg",NA,NA,NA,NA,NA,0.41728908,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_M_robert_de_niro.jpg"
NA,"E_F_Kate_Winslet.jpg","E_M_tom_hankes.jpg",NA,NA,NA,NA,NA,0.3930496,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg E_M_tom_hankes.jpg"
NA,"E_F_Kate_Winslet.jpg","P_F_hillary_clinton.jpg",NA,NA,NA,NA,NA,0.38408,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_F_hillary_clinton.jpg"
NA,"E_F_Kate_Winslet.jpg","P_F_nicola_sturgeon.jpg",NA,NA,NA,NA,NA,0.47134608,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_F_nicola_sturgeon.jpg"
NA,"E_F_Kate_Winslet.jpg","P_F_tehresy_may.jpg",NA,NA,NA,NA,NA,0.54614186,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_F_tehresy_may.jpg"
NA,"E_F_Kate_Winslet.jpg","P_M_bill_clinton.jpg",NA,NA,NA,NA,NA,0.4816336,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_M_bill_clinton.jpg"
NA,"E_F_Kate_Winslet.jpg","P_M_boris_johnson.jpg",NA,NA,NA,NA,NA,0.51974034,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_M_boris_johnson.jpg"
NA,"E_F_Kate_Winslet.jpg","P_M_david_cameron.jpg",NA,NA,NA,NA,NA,0.49641442,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_M_david_cameron.jpg"
NA,"E_F_Kate_Winslet.jpg","P_M_donald_trump.jpg",NA,NA,NA,NA,NA,0.49235803,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_M_donald_trump.jpg"
NA,"E_F_Kate_Winslet.jpg","P_M_george_Wbush.jpg",NA,NA,NA,NA,NA,0.47135425,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_M_george_Wbush.jpg"
NA,"E_F_Kate_Winslet.jpg","P_M_Tony_Blair.jpg",NA,NA,NA,NA,NA,0.46213406,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_Kate_Winslet.jpg P_M_Tony_Blair.jpg"
NA,"E_F_keira_knightley.jpg","E_F_sandra_bullock.jpg",NA,NA,NA,NA,NA,0.18874073,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_keira_knightley.jpg E_F_sandra_bullock.jpg"
NA,"E_F_keira_knightley.jpg","E_M_Hugh_Grant.jpg",NA,NA,NA,NA,NA,0.42280507,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_keira_knightley.jpg E_M_Hugh_Grant.jpg"
NA,"E_F_keira_knightley.jpg","E_M_michael_caine.jpg",NA,NA,NA,NA,NA,0.50037533,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_keira_knightley.jpg E_M_michael_caine.jpg"
NA,"E_F_keira_knightley.jpg","E_M_nicolas_cage.jpg",NA,NA,NA,NA,NA,0.4499684,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_keira_knightley.jpg E_M_nicolas_cage.jpg"
NA,"E_F_keira_knightley.jpg","E_M_robert_de_niro.jpg",NA,NA,NA,NA,NA,0.44897604,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_keira_knightley.jpg E_M_robert_de_niro.jpg"
NA,"E_F_keira_knightley.jpg","E_M_tom_hankes.jpg",NA,NA,NA,NA,NA,0.41444308,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_vit.csv","E_F_keira_knightley.jpg E_M_tom_hankes.jpg"
