"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
13008,"P_F_tehresy_may.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","4","1","12345","P_F_tehresy_may.jpg P_M_donald_trump.jpg",-1.78622559405316,"33","Female","right",1,1,FALSE
1565,"E_M_robert_de_niro.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","1","12345","E_M_robert_de_niro.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
12376,"E_F_Kate_Winslet.jpg","E_M_nicolas_cage.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","1","12345","E_F_Kate_Winslet.jpg E_M_nicolas_cage.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
3190,"E_M_robert_de_niro.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","1","12345","E_M_robert_de_niro.jpg P_M_bill_clinton.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
5928,"P_M_boris_johnson.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","1","12345","P_M_boris_johnson.jpg P_M_david_cameron.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
14578,"E_F_keira_knightley.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_keira_knightley.jpg P_M_boris_johnson.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
5049,"E_F_Kate_Winslet.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","5","1","12345","E_F_Kate_Winslet.jpg P_F_nicola_sturgeon.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
16047,"P_M_boris_johnson.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","4","1","12345","P_M_boris_johnson.jpg P_M_donald_trump.jpg",-1.78622559405316,"33","Female","right",1,1,FALSE
1999,"E_F_keira_knightley.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_keira_knightley.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3966,"E_M_robert_de_niro.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","1","12345","E_M_robert_de_niro.jpg P_M_Tony_Blair.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3561,"E_F_Judi_Dench.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_Judi_Dench.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
4077,"E_F_angelina_jolie.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_angelina_jolie.jpg P_M_bill_clinton.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2422,"E_M_robert_de_niro.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","1","12345","E_M_robert_de_niro.jpg P_M_david_cameron.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2247,"P_F_nicola_sturgeon.jpg","P_F_tehresy_may.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","6","1","12345","P_F_nicola_sturgeon.jpg P_F_tehresy_may.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2143,"E_M_tom_hankes.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","1","12345","E_M_tom_hankes.jpg P_F_nicola_sturgeon.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2559,"E_M_nicolas_cage.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","1","12345","E_M_nicolas_cage.jpg P_F_hillary_clinton.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3541,"P_F_hillary_clinton.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","1","12345","P_F_hillary_clinton.jpg P_M_Tony_Blair.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3167,"E_F_angelina_jolie.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_angelina_jolie.jpg P_M_boris_johnson.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
