RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
9487,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
9060,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5988,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4855,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5773,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4533,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4760,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
3948,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5626,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4972,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
3963,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
3754,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4649,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5588,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
3505,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
3747,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4458,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5864,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4351,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
9047,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5563,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
6925,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
10610,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
8476,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
6868,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
9151,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
7309,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4421,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
4905,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
7777,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
5379,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba8ef67818f3a651c0a197,"06/17/2022, 08:05:34"
