RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2247,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2239,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1758,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2543,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3636,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2211,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1619,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1654,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1625,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2115,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1426,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2174,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2598,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1717,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1305,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1224,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
4038,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1584,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1246,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1585,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2542,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1700,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1576,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1852,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1642,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1821,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2342,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1678,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
4874,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1497,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2147,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1758,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1774,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2375,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1581,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1242,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1724,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
