RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3375,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4294,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4069,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5332,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3540,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4372,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3007,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3861,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4591,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4325,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4176,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4132,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4671,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3085,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3889,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3651,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3457,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5633,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3840,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4261,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3092,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3678,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4110,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2954,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3309,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3255,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4110,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3823,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
7718,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4193,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3615,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4823,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2806,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3123,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2661,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
