RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
9486,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
4413,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2677,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
5738,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2257,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3557,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3718,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
8617,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2190,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2187,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3921,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
1932,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3908,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3045,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3004,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2165,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3063,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2863,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3269,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2740,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3588,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2366,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2620,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2205,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3525,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2024,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2157,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2736,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2693,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3106,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2882,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
4717,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2285,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2283,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
1851,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2983,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3037,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2853,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
4839,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3142,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2042,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2155,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3293,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3364,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
4173,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2314,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
5056,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2156,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
1304,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2565,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3453,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3284,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
6127,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3226,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
1619,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2276,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
1812,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
3357,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
2523,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5d3aee4270937b000107ab19,"06/17/2022, 10:38:58"
