RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5740,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3416,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5565,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5400,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4688,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3532,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4680,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5924,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5694,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3822,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3870,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
6233,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3212,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3295,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3453,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3143,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3255,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4771,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4175,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2405,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3495,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2667,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3846,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3105,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5773,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2721,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3896,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3225,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5724,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4346,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4614,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5658,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3331,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5173,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3205,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4114,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3227,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
6861,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2470,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4439,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3361,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3768,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4017,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4973,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3972,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5570,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3666,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4379,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2607,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5151,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
6062,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2827,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5957,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3687,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3029,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4046,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3725,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
6173,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2427,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2809,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2338,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4786,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2344,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2396,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2990,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
6839,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4096,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2564,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2699,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
