RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3870,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3543,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2533,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1861,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2014,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2175,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2721,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1832,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1824,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
5414,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
