RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1522,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3550,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1738,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1362,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1239,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1692,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1627,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1507,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2679,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1684,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1694,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3419,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2138,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1344,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1635,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1879,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1791,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2348,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2239,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1918,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1515,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1534,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1401,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2311,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
23170,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
13443,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1178,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1343,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1810,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1576,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1899,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1507,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1756,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2118,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1819,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
