RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3692,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3858,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3936,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4233,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5558,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5826,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4359,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
6298,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5346,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2802,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4261,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3384,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3207,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
7075,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4838,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3382,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4809,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4632,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3925,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3078,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3090,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3143,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3963,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4128,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4104,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4035,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3658,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3774,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3557,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3920,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
11988,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
6679,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3163,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2522,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2603,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4129,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2921,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4809,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2781,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2800,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4202,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3309,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5425,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3175,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4169,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4311,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
