RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4941,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1652,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4024,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1700,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2560,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1831,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2988,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1611,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
9698,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
8258,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1855,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1687,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1425,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4746,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3693,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2798,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2959,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2116,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
