RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6726,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3619,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6019,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3837,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
7483,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5406,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3338,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4118,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2610,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2267,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3136,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3077,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2500,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3971,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2296,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2823,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2382,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2146,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2539,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2576,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2854,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
