RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
5048,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2340,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
4199,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1998,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2790,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
3413,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
3029,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1900,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2631,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
3806,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
