RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1931,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2540,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1923,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2172,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1912,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1762,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3790,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1528,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3896,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
5543,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
3006,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
9151,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2128,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
1997,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2000,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2454,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
4501,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
2881,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a8c5d2cfd7a48be619632,"06/16/2022, 22:20:22"
