RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2600,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2233,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
5803,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4030,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2944,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3223,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3675,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2202,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3815,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3394,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2600,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3273,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3384,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3027,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3856,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3536,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2756,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4000,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
6718,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2879,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3054,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3004,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
