RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3822,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4875,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3811,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5822,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3945,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4556,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3639,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4207,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
25227,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
8068,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3731,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4871,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3886,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6903,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4486,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4036,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4012,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3661,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5366,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4115,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5004,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6850,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
9658,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3529,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2695,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3694,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5911,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4387,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3005,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4627,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2901,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3681,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4437,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2896,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5565,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5330,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4941,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6635,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5938,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5588,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4242,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
