RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3131,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5891,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4707,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
7252,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4180,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3258,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4482,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4683,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3230,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2822,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5983,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
14798,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2017,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1772,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3647,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4886,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2798,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2143,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2251,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
22098,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
37427,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
11082,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
12135,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3177,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4002,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
21472,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3107,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
